Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.2485,0.1945,0.0806,0.0804,0.0962,0.0889,0.1841,0.24,0.217,0.2601
Hamm_score,0.0336,0.0441,0.0451,0.0452,0.044,0.0441,0.052,0.0391,0.0372,0.0318
Examp_F1,0.6235,0.4914,0.3775,0.3766,0.3966,0.3672,0.2151,0.5859,0.5727,0.6324
Examp_prec,0.7093,0.7091,0.6767,0.6775,0.7075,0.7167,0.9448,0.6759,0.725,0.7561
Examp_rec,0.7511,0.6058,0.511,0.5101,0.5094,0.4865,0.2448,0.7186,0.6785,0.7302
Micro_F1,0.6769,0.5279,0.4061,0.405,0.4206,0.3821,0.0582,0.6254,0.615,0.6759
Micro_prec,0.6758,0.5977,0.6494,0.6491,0.6742,0.7125,0.5805,0.6227,0.665,0.716
Micro_rec,0.678,0.4728,0.2954,0.2943,0.3056,0.261,0.0306,0.6281,0.5721,0.6399
Macro_F1,0.6172,0.2898,0.1855,0.1853,0.0385,0.0436,0.0054,0.5026,0.5221,0.5802
Macro_prec,0.5965,0.5091,0.3417,0.3415,0.8722,0.7643,0.9207,0.4832,0.5891,0.6398
Macro_rec,0.6414,0.2292,0.1598,0.1597,0.032,0.034,0.003,0.527,0.4798,0.5433
