Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.6728,0.5716,0.7197,0.7197,0.721,0.7234,0.7339,0.6734,0.6339,0.6975
Hamm_score,0.027,0.0394,0.0305,0.0305,0.0301,0.0306,0.03,0.027,0.0318,0.0258
Examp_F1,0.738,0.6092,0.7251,0.7251,0.7275,0.7288,0.7339,0.7386,0.6909,0.7546
Examp_prec,0.8292,0.8021,0.9706,0.9706,0.978,0.9728,0.9944,0.8299,0.8306,0.8854
Examp_rec,0.8708,0.7839,0.7381,0.7381,0.7411,0.7397,0.7345,0.8708,0.8276,0.845
Micro_F1,0.5387,0.2057,0.036,0.036,0.0338,0.0373,0,0.5387,0.391,0.5014
Micro_prec,0.5505,0.2599,0.3496,0.3496,0.4594,0.3358,0,0.5505,0.4578,0.6022
Micro_rec,0.5275,0.1702,0.019,0.019,0.0175,0.0197,0,0.5275,0.3412,0.4295
Macro_F1,0.5132,0.09,0.1549,0.1549,0.0085,0.0521,-0.0001,0.5132,0.2612,0.4863
Macro_prec,0.5104,0.4001,0.4284,0.4284,0.8997,0.5928,0.9595,0.5103,0.4493,0.6336
Macro_rec,0.5173,0.069,0.1565,0.1565,0.0047,0.0373,-0.0001,0.5173,0.2254,0.429
