Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.1548,0.1365,0.0198,0.0198,0.0626,0.0179,0.1783,0.135,0.1406,0.1829
Hamm_score,0.0448,0.06,0.0634,0.0634,0.0602,0.0625,0.0666,0.0496,0.0534,0.0419
Examp_F1,0.6176,0.5082,0.3679,0.3679,0.4311,0.4008,0.2876,0.5826,0.5646,0.6377
Examp_prec,0.6823,0.6749,0.6203,0.6203,0.6555,0.5906,0.9172,0.6522,0.6782,0.7502
Examp_rec,0.751,0.6238,0.5236,0.5236,0.5445,0.5601,0.2979,0.7268,0.683,0.7268
Micro_F1,0.6877,0.5513,0.4606,0.4606,0.4859,0.4914,0.2168,0.6555,0.6121,0.6901
Micro_prec,0.6854,0.5949,0.593,0.593,0.6297,0.5914,0.7129,0.6513,0.639,0.7314
Micro_rec,0.6899,0.5137,0.3766,0.3766,0.3955,0.4203,0.1278,0.6597,0.5874,0.6531
Macro_F1,0.6203,0.2589,0.1899,0.1899,0.0653,0.1577,0.0286,0.574,0.4485,0.611
Macro_prec,0.5962,0.5752,0.3159,0.3159,0.8325,0.7082,0.9204,0.549,0.5472,0.6653
Macro_rec,0.65,0.2118,0.1686,0.1686,0.0612,0.1303,0.0195,0.604,0.4268,0.5763
