Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.2221,0.1821,0.0603,0.0603,0.0934,0.0619,0.254,0.2143,0.1992,0.2405
Hamm_score,0.0465,0.0606,0.06,0.06,0.0568,0.0583,0.07,0.0523,0.0513,0.0442
Examp_F1,0.582,0.4717,0.4232,0.4232,0.4527,0.4402,0.2846,0.5477,0.5429,0.5994
Examp_prec,0.6881,0.7229,0.6213,0.6213,0.6647,0.6302,0.9701,0.6595,0.7076,0.729
Examp_rec,0.7524,0.6187,0.6308,0.6308,0.6334,0.649,0.297,0.7294,0.6956,0.7471
Micro_F1,0.6696,0.5126,0.4959,0.4959,0.5125,0.5097,0.0652,0.6304,0.6117,0.6726
Micro_prec,0.6708,0.5959,0.6133,0.6133,0.6551,0.6317,0.6676,0.63,0.6576,0.7045
Micro_rec,0.6684,0.4497,0.4161,0.4161,0.4208,0.4271,0.0342,0.6308,0.5718,0.6434
Macro_F1,0.6036,0.2731,0.179,0.179,0.0638,0.0549,0.0077,0.5175,0.4859,0.5821
Macro_prec,0.5857,0.4621,0.3326,0.3326,0.844,0.811,0.9533,0.5026,0.5611,0.6454
Macro_rec,0.6254,0.2186,0.1606,0.1606,0.0595,0.0561,0.0043,0.5356,0.4368,0.539
