Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.2771,0.184,0.0951,0.0951,0.1174,0.1139,0.1438,0.275,0.2243,0.2884
Hamm_score,0.045,0.063,0.0659,0.0659,0.0631,0.0625,0.0721,0.0503,0.0564,0.0434
Examp_F1,0.6495,0.5126,0.4111,0.4111,0.4582,0.4416,0.3202,0.6162,0.572,0.6529
Examp_prec,0.7377,0.7182,0.7717,0.7717,0.752,0.7731,0.8823,0.7133,0.7314,0.7607
Examp_rec,0.775,0.6381,0.4897,0.4897,0.5475,0.522,0.3628,0.748,0.6917,0.7664
Micro_F1,0.7206,0.5749,0.4173,0.4173,0.4885,0.4656,0.265,0.6887,0.6325,0.7229
Micro_prec,0.7198,0.6336,0.7395,0.7395,0.7141,0.7611,0.7782,0.6865,0.6677,0.7428
Micro_rec,0.7214,0.5262,0.2906,0.2906,0.3712,0.3354,0.1597,0.6909,0.6008,0.704
Macro_F1,0.6433,0.315,0.1898,0.1898,0.075,0.1079,0.0213,0.5822,0.4267,0.6334
Macro_prec,0.6286,0.5638,0.3764,0.3764,0.8795,0.7767,0.8951,0.5658,0.4738,0.6701
Macro_rec,0.6608,0.2676,0.1786,0.1786,0.063,0.0828,0.0176,0.6036,0.3998,0.6074
