Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.2582,0.1928,0.0614,0.0598,0.0733,0.0632,0.0581,0.255,0.2255,0.2685
Hamm_score,0.0419,0.0572,0.0521,0.0521,0.0498,0.0517,0.0525,0.0426,0.0451,0.0398
Examp_F1,0.5782,0.4573,0.4859,0.4894,0.5067,0.4981,0.4538,0.575,0.5569,0.6023
Examp_prec,0.7043,0.7553,0.6479,0.6431,0.6631,0.6474,0.6704,0.7041,0.7224,0.7345
Examp_rec,0.7674,0.6198,0.7006,0.7074,0.7132,0.7177,0.6502,0.7623,0.7379,0.7831
Micro_F1,0.6932,0.5229,0.5844,0.5896,0.6058,0.5946,0.5456,0.6887,0.6607,0.7067
Micro_prec,0.6945,0.613,0.6462,0.6421,0.6628,0.6444,0.6738,0.6886,0.6823,0.7118
Micro_rec,0.6918,0.456,0.5334,0.5451,0.5579,0.552,0.4584,0.6888,0.6404,0.7017
Macro_F1,0.6251,0.2405,0.2313,0.2359,0.067,0.0943,0.0421,0.583,0.5263,0.5901
Macro_prec,0.6051,0.5226,0.3597,0.3661,0.8849,0.7394,0.9015,0.5577,0.6131,0.6506
Macro_rec,0.6508,0.2007,0.2184,0.2215,0.0673,0.091,0.0475,0.6169,0.4943,0.5579
