Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.098,0.0734,0.0183,0.0206,0.0229,0.0118,0.081,0.0972,0.0748,0.1079
Hamm_score,0.0412,0.054,0.0541,0.0532,0.052,0.0545,0.0767,0.0422,0.0453,0.039
Examp_F1,0.6875,0.6246,0.6124,0.6108,0.6208,0.5942,0.2656,0.6829,0.6632,0.7085
Examp_prec,0.7412,0.7326,0.7304,0.7478,0.746,0.7578,0.9331,0.7374,0.748,0.7685
Examp_rec,0.7842,0.7124,0.6823,0.6703,0.6834,0.6325,0.2597,0.7807,0.7455,0.7971
Micro_F1,0.7603,0.6783,0.6586,0.6578,0.6685,0.634,0.2593,0.7552,0.7285,0.7709
Micro_prec,0.7601,0.6993,0.7252,0.7422,0.7453,0.7589,0.8225,0.7546,0.7533,0.7776
Micro_rec,0.7606,0.6586,0.6032,0.5906,0.606,0.5443,0.1539,0.7558,0.7052,0.7644
Macro_F1,0.6549,0.2833,0.2171,0.217,0.0824,0.1055,0.0235,0.6226,0.5101,0.5815
Macro_prec,0.634,0.4972,0.3473,0.3493,0.8297,0.7664,0.944,0.5985,0.5906,0.6429
Macro_rec,0.6809,0.2488,0.1966,0.1946,0.082,0.0945,0.0166,0.6525,0.4699,0.5385
