Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.3053,0.297,0.1499,0.1501,0.2274,0.2974,0.4235,0.3239,0.2952,0.3313
Hamm_score,0.0419,0.0647,0.06,0.0601,0.0587,0.0603,0.061,0.0413,0.0523,0.0427
Examp_F1,0.5601,0.3922,0.3304,0.3309,0.3625,0.3668,0.4243,0.5706,0.4851,0.5756
Examp_prec,0.7078,0.8028,0.6358,0.6349,0.7491,0.8344,0.9908,0.7202,0.7538,0.7687
Examp_rec,0.7639,0.5406,0.5789,0.5799,0.5383,0.483,0.4277,0.765,0.6638,0.7351
Micro_F1,0.6481,0.2423,0.31,0.3116,0.2528,0.1269,0.0019,0.6548,0.4974,0.6183
Micro_prec,0.6581,0.4211,0.5148,0.5143,0.5612,0.5355,0.3234,0.661,0.5964,0.673
Micro_rec,0.6383,0.1701,0.2217,0.2235,0.1631,0.072,0.001,0.6488,0.4267,0.5719
Macro_F1,0.628,0.1339,0.1913,0.1921,0.0311,0.0287,0.0002,0.6092,0.4445,0.5955
Macro_prec,0.6251,0.4751,0.3736,0.3732,0.8603,0.691,0.964,0.6014,0.5507,0.6705
Macro_rec,0.6335,0.0943,0.17,0.1704,0.0241,0.0199,0.0001,0.6189,0.3828,0.5476
