Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.7271,0.5915,0.6425,0.6425,0.7609,0.6241,0.7609,0.7271,0.5224,0.5316
Hamm_score,0.0578,0.1636,0.1113,0.1113,0.0972,0.1096,0.0972,0.0578,0.1648,0.1049
Examp_F1,0.8337,0.6311,0.6979,0.6979,0.7609,0.6705,0.7609,0.8337,0.5891,0.7602
Examp_prec,0.9113,0.81,0.8424,0.8424,0.9975,0.8286,0.9975,0.9113,0.737,0.8063
Examp_rec,0.903,0.8035,0.8046,0.8046,0.7609,0.8276,0.7609,0.903,0.8289,0.9229
Micro_F1,0.6945,0.2047,0.2469,0.2469,0,0.3691,0,0.6945,0.3063,0.7495
Micro_prec,0.7102,0.1932,0.3599,0.3599,0.9975,0.4161,0.9975,0.7102,0.2583,0.6272
Micro_rec,0.6795,0.2168,0.1879,0.1879,0,0.3317,0,0.6795,0.3757,0.9309
Macro_F1,0.7057,0.1402,0.2475,0.2475,0,0.326,0,0.7057,0.2633,0.7651
Macro_prec,0.7146,0.2879,0.4593,0.4593,0.9975,0.44,0.9975,0.7146,0.3367,0.6467
Macro_rec,0.6977,0.1888,0.2215,0.2215,0,0.3291,0,0.6977,0.342,0.9577
