Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.6904,0.6136,0.7012,0.7012,0.711,0.7092,0.719,0.6878,0.6386,0.7138
Hamm_score,0.0243,0.039,0.0288,0.0288,0.0281,0.0281,0.0281,0.0256,0.0324,0.023
Examp_F1,0.7629,0.6456,0.7102,0.7102,0.7199,0.7264,0.7213,0.7592,0.6861,0.7726
Examp_prec,0.8414,0.8273,0.9519,0.9519,0.9728,0.9609,0.9879,0.8359,0.8464,0.8939
Examp_rec,0.8752,0.7763,0.7361,0.7361,0.7351,0.7442,0.7278,0.8755,0.7986,0.8436
Micro_F1,0.5537,0.2217,0.0715,0.0715,0.0614,0.1158,0.0156,0.543,0.3275,0.5023
Micro_prec,0.5655,0.2509,0.359,0.359,0.458,0.4809,0.4097,0.5382,0.3895,0.6264
Micro_rec,0.5423,0.1986,0.0397,0.0397,0.0329,0.0658,0.0079,0.548,0.2825,0.4193
Macro_F1,0.4909,0.1508,0.0982,0.0982,0.0183,0.1104,0.0026,0.4506,0.3192,0.4473
Macro_prec,0.5684,0.3543,0.3976,0.3976,0.8729,0.6624,0.951,0.5098,0.4254,0.6303
Macro_rec,0.4867,0.138,0.0741,0.0741,0.0103,0.075,0.0013,0.4683,0.2866,0.3847
