Method,AMR,kNN,HT,HAT,ARF,AMF,MLHT,iSOUPT,MLHAT,OEMLHAT
Subset_acc,0.4722,0.4157,0.4732,0.4732,0.4381,0.5131,0.4995,0.4702,0.4401,0.5
Hamm_score,0.0393,0.0575,0.0554,0.0554,0.0532,0.0542,0.0547,0.0397,0.052,0.0383
Examp_F1,0.6421,0.5205,0.5019,0.5019,0.5085,0.525,0.51,0.6402,0.5643,0.6612
Examp_prec,0.7547,0.7883,0.9118,0.9118,0.8673,0.9709,0.9671,0.7559,0.7862,0.8149
Examp_rec,0.8161,0.6752,0.5474,0.5474,0.5975,0.5378,0.5336,0.8133,0.7241,0.7898
Micro_F1,0.6282,0.3482,0.0882,0.0882,0.2023,0.0636,0.0364,0.6257,0.451,0.6052
Micro_prec,0.6415,0.4516,0.4171,0.4171,0.5459,0.5252,0.4362,0.6363,0.5265,0.6787
Micro_rec,0.6154,0.2833,0.0493,0.0493,0.1242,0.0339,0.019,0.6154,0.3944,0.5461
Macro_F1,0.5875,0.1619,0.1978,0.1978,0.0455,0.0588,0.023,0.5864,0.3176,0.5398
Macro_prec,0.5779,0.4729,0.4365,0.4365,0.8191,0.7018,0.8617,0.5751,0.4857,0.6742
Macro_rec,0.6016,0.1388,0.187,0.187,0.0462,0.0444,0.0212,0.6021,0.3024,0.4938
